Catalog_Number,Calendar_Date,Year,Eclipse_Time,Delta_T,Lunation_Number,Saros_Number,Eclipse Type,Gamma,Eclipse_Magnitude,Latitude,Longitude,Sun_Altitude,Sun_Azimuth,Path_Width,Central_Duration
9491,1992 June 30,1992,12:11:22,59,-93,146,T,-0.7512,1.0592,25.2S,9.5W,41,10,294,5.21
9492,1992 December 24,1992,00:31:41,59,-87,151,P,1.0711,0.8422,65.7N,155.7E,0,165,,
9493,1993 May 21,1993,14:20:15,59,-82,118,P,1.1372,0.7352,68.8N,162.3E,0,17,,
9494,1993 November 13,1993,21:45:51,60,-76,123,P,-1.0411,0.928,69.6S,58.3E,0,153,,
9495,1994 May 10,1994,17:12:27,60,-70,128,A,0.4077,0.9431,41.5N,84.1W,66,168,230,6.13
9496,1994 November 3,1994,13:40:06,61,-64,133,T,-0.3522,1.0535,35.4S,34.2W,69,15,189,4.23
9497,1995 April 29,1995,17:33:20,61,-58,138,A,-0.3382,0.9497,4.8S,79.4W,70,348,196,6.37
9498,1995 October 24,1995,04:33:30,61,-52,143,T,0.3518,1.0213,8.4N,113.2E,69,195,78,2.1
9499,1996 April 17,1996,22:38:12,62,-46,148,P,-1.058,0.8799,71.3S,104.0W,0,306,,
9500,1996 October 12,1996,14:03:04,62,-40,153,P,1.1227,0.7575,71.7N,32.1E,0,245,,
9501,1997 March 9,1997,01:24:51,62,-35,120,T,0.9183,1.042,57.8N,130.7E,23,146,356,2.5
9502,1997 September 2,1997,00:04:48,63,-29,125,P,-1.0352,0.8988,71.8S,114.3E,0,64,,
9503,1998 February 26,1998,17:29:27,63,-23,130,T,0.2391,1.0441,4.7N,82.7W,76,164,151,4.09
9504,1998 August 22,1998,02:07:11,63,-17,135,A,-0.2644,0.9734,3.0S,145.4E,75,14,99,3.14
9505,1999 February 16,1999,06:34:38,63,-11,140,A,-0.4726,0.9928,39.8S,93.9E,62,342,29,0.4
9506,1999 August 11,1999,11:04:09,64,-5,145,T,0.5062,1.0286,45.1N,24.3E,59,197,112,2.23
9507,2000 February 5,2000,12:50:27,64,1,150,P,-1.2233,0.5795,70.2S,134.1E,0,215,,
9508,2000 July 1,2000,19:33:34,64,6,117,P,-1.2821,0.4768,66.9S,109.5W,0,358,,
9509,2000 July 31,2000,02:14:08,64,7,155,P,1.2166,0.6034,69.5N,59.9W,0,333,,
9510,2000 December 25,2000,17:35:57,64,12,122,P,1.1367,0.7228,66.3N,74.1W,0,189,,
9511,2001 June 21,2001,12:04:46,64,18,127,T,-0.5701,1.0495,11.3S,2.7E,55,355,200,4.57
9512,2001 December 14,2001,20:53:01,64,24,132,A,0.4089,0.9681,0.6N,130.7W,66,188,126,3.53
9513,2002 June 10,2002,23:45:22,64,30,137,A,0.1993,0.9962,34.5N,178.6W,78,169,13,0.23
