Catalog Number,Calendar_Date,Year,Eclipse Time,Delta T (s),Lunation Number,Saros_Number,Eclipse Type,Quincena Solar Eclipse,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral_Eclipse_Duration,Partial_Eclipse_Duration,Total_Eclipse_Duration
9548,1955 November 29,1955,17:00:00,31,-546,115,P,#NAME?,0.9551,1.0917,0.119,22N,102E,253,74.2,-
9549,1956 May 24,1956,15:31:52,32,-540,120,P,#NAME?,-0.4726,2.0174,0.9647,21S,126E,348.5,204.5,-
9550,1956 November 18,1956,06:48:16,32,-534,125,T,#NAME?,0.2917,2.3285,1.3172,20N,106W,332.2,209.5,78.4
9551,1957 May 13,1957,22:31:28,32,-528,130,T,a-,0.3045,2.3001,1.2982,18S,21E,335,211.6,77.6
9552,1957 November 7,1957,14:27:30,32,-522,135,T,t-,-0.4332,2.0963,1.0305,16N,139E,349.3,206.5,27.9
9553,1958 April 4,1958,04:00:15,32,-517,102,Ne,#NAME?,-1.538,0.0135,-0.9422,7S,60W,31,-,-
9554,1958 May 3,1958,12:13:29,32,-516,140,P,a-,1.0188,0.9676,0.0092,15S,176E,242.2,21,-
9555,1958 October 27,1958,15:27:50,33,-510,145,N,t-,-1.157,0.7825,-0.3118,12N,124E,257.9,-,-
9556,1959 March 24,1959,20:11:57,33,-505,112,P,#NAME?,-0.8757,1.2379,0.2643,2S,58E,268.2,109.5,-
9557,1959 September 17,1959,01:03:37,33,-499,117,N,#NAME?,1.0296,0.9874,-0.0496,2S,17W,268,-,-
9558,1960 March 13,1960,08:28:21,33,-493,122,T-,#NAME?,-0.1799,2.5415,1.5145,3N,125W,344.8,219.4,94
9559,1960 September 5,1960,11:21:51,33,-487,127,T+,#NAME?,0.2422,2.4031,1.4239,6S,171W,326.7,210.8,86.7
9560,1961 March 2,1961,13:28:40,34,-481,132,P,t-,0.554,1.8828,0.8006,8N,161E,347.6,192.9,-
9561,1961 August 26,1961,03:08:51,34,-475,137,P,a-,-0.4894,1.933,0.9863,11S,46W,301.4,186,-
9562,1962 February 19,1962,13:03:42,34,-469,142,N,t-,1.2511,0.612,-0.4865,12N,168E,231.9,-,-
9563,1962 July 17,1962,11:54:49,34,-464,109,N,#NAME?,1.337,0.3924,-0.5835,20S,177W,168.3,-,-
9564,1962 August 15,1962,19:57:30,34,-463,147,N,a-,-1.221,0.5963,-0.3616,15S,62E,198.2,-,-
9565,1963 January 9,1963,23:19:42,35,-458,114,Nx,#NAME?,-1.0128,1.018,-0.0185,21N,12E,265.3,-,-
9566,1963 July 6,1963,22:02:59,35,-452,119,P,#NAME?,0.6197,1.736,0.706,22S,31E,327.2,179.9,-
9567,1963 December 30,1963,11:07:25,35,-446,124,T,#NAME?,-0.2889,2.3206,1.335,23N,166W,320,204.3,78.1
9568,1964 June 25,1964,01:06:50,35,-440,129,T-,pp,-0.1461,2.6238,1.5565,24S,16W,372.1,233.2,100.8
9569,1964 December 19,1964,02:37:54,36,-434,134,T,p-,0.3801,2.1461,1.1748,24N,40W,310.1,195.5,58.9
9570,1965 June 14,1965,01:49:26,36,-428,139,P,t-,-0.9005,1.2351,0.1767,24S,27W,302.7,100.3,-
9571,1965 December 8,1965,17:10:32,36,-422,144,N,a-,1.0774,0.882,-0.1201,24N,100E,240.7,-,-
9572,1966 May 4,1966,21:12:06,37,-417,111,N,#NAME?,1.0553,0.9157,-0.0728,15S,42E,246,-,-
9573,1966 October 29,1966,10:12:53,37,-411,116,N,#NAME?,-1.0599,0.9517,-0.1249,12N,157W,273.7,-,-
9574,1967 April 24,1967,12:07:04,38,-405,121,T,#NAME?,0.2972,2.2892,1.3356,12S,178E,313.3,202.8,77.9
9575,1967 October 18,1967,10:15:48,38,-399,126,T,#NAME?,-0.3653,2.2337,1.1426,9N,157W,367.1,218.9,59.8
9576,1968 April 13,1968,04:48:01,39,-393,131,T,p-,-0.4173,2.0725,1.1116,9S,72W,309.5,194.1,48.5
9577,1968 October 6,1968,11:42:35,39,-387,136,T,t-,0.3605,2.2242,1.1691,6N,179W,352,213.9,63
9578,1969 April 2,1969,18:33:06,39,-381,141,N,a-,-1.1764,0.7033,-0.3047,6S,82E,223.7,-,-
9579,1969 August 27,1969,10:48:15,40,-376,108,Ne,#NAME?,-1.5407,0.0131,-0.9516,11S,161W,31.3,-,-
9580,1969 September 25,1969,20:10:19,40,-375,146,N,a-,1.0655,0.9007,-0.0953,2N,55E,245.1,-,-
9581,1970 February 21,1970,08:30:43,40,-370,113,P,#NAME?,0.9619,1.1402,0.0463,11N,124W,298.5,52.7,-
9582,1970 August 17,1970,03:24:06,41,-364,118,P,#NAME?,-0.8053,1.3521,0.4079,14S,49W,270.6,131.3,-
9583,1971 February 10,1971,07:45:21,41,-358,123,T,#NAME?,0.2741,2.4026,1.3082,15N,112W,369.5,224.7,82.2
9584,1971 August 6,1971,19:43:52,42,-352,128,T-,pp,-0.0794,2.6958,1.7283,17S,66E,327.3,215.5,99.4
9585,1972 January 30,1972,10:54:05,42,-346,133,T,a-,-0.4273,2.0987,1.0497,17N,160W,340.3,203.4,34.8
9586,1972 July 26,1972,07:16:22,43,-340,138,P,t-,0.7116,1.5618,0.5427,19S,108W,312.4,160.1,-
9587,1973 January 18,1973,21:17:58,43,-334,143,N,a-,-1.0844,0.8655,-0.1293,19N,43E,236.5,-,-
9588,1973 June 15,1973,20:50:41,44,-329,110,N,#NAME?,-1.3216,0.4685,-0.602,25S,48E,204.6,-,-
9589,1973 July 15,1973,11:39:19,44,-328,148,Nb,t-,1.5177,0.1046,-0.9581,20S,174W,99.1,-,-
9590,1973 December 10,1973,01:45:06,44,-323,115,P,#NAME?,0.9644,1.076,0.1007,24N,28W,252,68.5,-
9591,1974 June 4,1974,22:16:44,45,-317,120,P,#NAME?,-0.5488,1.8752,0.8269,23S,26E,341,193.6,-
9592,1974 November 29,1974,15:14:07,45,-311,125,T,#NAME?,0.3054,2.3057,1.2896,22N,129E,333.1,208.9,75.7
9593,1975 May 25,1975,05:48:47,46,-305,130,T+,p-,0.2367,2.4218,1.4253,21S,88W,335.9,215.2,88.3
9594,1975 November 18,1975,22:24:12,46,-299,135,T,p-,-0.4134,2.1352,1.0642,19N,20E,352.1,209,40.2
9595,1976 May 13,1976,19:55:08,47,-293,140,P,a-,0.9585,1.0761,0.1217,18S,61E,251.8,75.4,-
9596,1976 November 6,1976,23:01:59,47,-287,145,N,t-,-1.1275,0.8383,-0.2594,15N,11E,265.8,-,-
9597,1977 April 4,1977,04:19:04,48,-282,112,P,#NAME?,-0.9148,1.1657,0.1928,7S,64W,262.9,94.7,-
9598,1977 September 27,1977,08:30:08,48,-276,117,N,#NAME?,1.0768,0.9007,-0.1361,3N,130W,257.5,-,-
9599,1978 March 24,1978,16:23:11,49,-270,122,T-,#NAME?,-0.214,2.479,1.4518,2S,116E,344.9,218.5,90.7
9600,1978 September 16,1978,19:05:01,49,-264,127,T,#NAME?,0.2951,2.306,1.3268,2S,73E,323.8,207.2,78.6
9601,1979 March 13,1979,21:08:52,50,-258,132,P,t-,0.5253,1.935,0.8538,3N,46E,350.6,197.7,-
9602,1979 September 6,1979,10:55:02,50,-252,137,T,a-,-0.4305,2.0421,1.0936,7S,164W,305.1,191.9,44.4
9603,1980 March 1,1980,20:46:03,51,-246,142,N,t-,1.2269,0.6545,-0.4405,8N,52E,238.5,-,-
9604,1980 July 27,1980,19:08:59,51,-241,109,N,#NAME?,1.4138,0.2535,-0.7264,18S,74E,137.5,-,-
9605,1980 August 26,1980,03:31:20,51,-240,147,N,a-,-1.1608,0.7089,-0.2531,12S,52W,214.4,-,-
9606,1981 January 20,1981,07:50:48,51,-235,114,Nx,#NAME?,-1.0141,1.0136,-0.0192,19N,115W,263.8,-,-
9607,1981 July 17,1981,04:47:40,52,-229,119,P,#NAME?,0.7045,1.5822,0.5486,21S,70W,319.6,163.2,-
9608,1982 January 9,1982,19:56:44,52,-223,124,T,#NAME?,-0.2916,2.3147,1.331,22N,63E,319.1,203.8,77.7
9609,1982 July 6,1982,07:31:47,53,-217,129,T-,pp,-0.0579,2.786,1.7179,23S,112W,373.8,235.6,105.7
9610,1982 December 30,1982,11:29:37,53,-211,134,T,p-,0.3758,2.1545,1.1822,24N,172W,310.6,195.9,60
9611,1983 June 25,1983,08:23:11,53,-205,139,P,t-,-0.8151,1.3901,0.3348,24S,125W,314.7,134.6,-
9612,1983 December 20,1983,01:49:57,54,-199,144,N,a-,1.0746,0.889,-0.1167,24N,28W,242.3,-,-
9613,1984 May 15,1984,04:41:03,54,-194,111,N,#NAME?,1.113,0.8071,-0.176,18S,71W,232.5,-,-
9614,1984 June 13,1984,14:26:39,54,-193,149,Nb,a-,-1.5239,0.0647,-0.9414,25S,143E,73,-,-
9615,1984 November 8,1984,17:56:08,54,-188,116,N,#NAME?,-1.0899,0.8992,-0.1825,16N,88E,268.4,-,-
9616,1985 May 4,1985,19:57:19,55,-182,121,T,#NAME?,0.3519,2.187,1.2369,16S,60E,310.2,198.9,67.7
9617,1985 October 28,1985,17:43:17,55,-176,126,T,#NAME?,-0.4022,2.1673,1.0736,13N,91E,365.1,214.9,43.9
9618,1986 April 24,1986,12:43:30,55,-170,131,T,p-,-0.3682,2.162,1.2022,13S,169E,312.6,198.8,63.6
9619,1986 October 17,1986,19:18:54,55,-164,136,T,h-,0.3188,2.3008,1.2455,10N,67E,353.2,216.8,73.7
9620,1987 April 14,1987,02:19:50,55,-158,141,N,h-,-1.1364,0.7769,-0.2313,10S,35W,234.1,-,-
9621,1987 October 7,1987,04:02:30,56,-152,146,N,a-,1.0189,0.9863,-0.0096,6N,64W,253.5,-,-
9622,1988 March 3,1988,16:13:41,56,-147,113,Nx,#NAME?,0.9885,1.0907,-0.0017,7N,120E,293.8,-,-
9623,1988 August 27,1988,11:05:29,56,-141,118,P,#NAME?,-0.8681,1.238,0.2915,11S,165W,262.5,113,-
9624,1989 February 20,1989,15:36:18,56,-135,123,T,#NAME?,0.2934,2.3651,1.2747,11N,130E,367.7,223.1,78.5
9625,1989 August 17,1989,03:09:07,57,-129,128,T-,#NAME?,-0.149,2.5703,1.5984,14S,46W,327.5,214.3,95.8
